"anio","clae2_desc","clae2","porc_medio"
2007,"Actividades administrativas de oficinas y empresas",82,42.17
2007,"Actividades de apoyo a la minería",9,5.51
2007,"Actividades de construcción especializada",43,5.13
2007,"Actividades de investigación y seguridad",80,9.2
2007,"Actividades de organismos extraterritoriales",99,53.4
2007,"Actividades de procesamiento de información",63,39.02
2007,"Actividades deportivas, recreativas y de entretenimiento",93,30.85
2007,"Administración pública, defensa y seguridad social",84,42.63
2007,"Agencias de viajes, servicios de reservas y actividades conexas",79,52.5
2007,"Agricultura, ganadería, caza y servicios relacionados",1,10.8
2007,"Almacenamiento y logística",52,15.74
2007,"Alquiler y leasing",77,17.87
2007,"Captación, depuración y distribución de agua",36,18.68
2007,"Comercio al por mayor excepto autos y motos",46,24.23
2007,"Comercio al por menor excepto autos y motos",47,41.93
2007,"Construcción de edificios y partes",41,3.03
2007,"Descontaminación y otros servicios",39,11.5
2007,"Edición",58,37.31
2007,"Elaboración de bebidas",11,14.46
2007,"Elaboración de prendas de vestir",14,59.93
2007,"Elaboración de productos alimenticios",10,19.66
2007,"Elaboración de productos de cuero",15,22
2007,"Elaboración de productos de madera",16,7.02
2007,"Elaboración de productos de papel",17,13.31
2007,"Elaboración de productos de tabaco",12,18.1
2007,"Elaboracion de productos farmaceuticos",21,35.7
2007,"Elaboración de productos textiles",13,23.98
2007,"Enseñanza",85,74.06
2007,"Extracción de carbon y lignito",5,3.62
2007,"Extracción de minerales metálicos",7,7.98
2007,"Extracción de petroleo crudo y gas natural",6,17
2007,"Fabricación de aparatos de uso doméstico",27,12.27
2007,"Fabricación de equipo de transporte",30,6.71
2007,"Fabricación de equipos automotores",29,9.19
2007,"Fabricación de equipos electrónicos",26,24.91
2007,"Fabricación de maquinaria",28,8.4
2007,"Fabricación de muebles y colchones",31,12.31
2007,"Fabricación de productos de caucho y plástico",22,13.19
2007,"Fabricación de productos de hornos de coque",19,19.75
2007,"Fabricación de productos de vidrio y minerales no metálicos",23,6.99
2007,"Fabricación de productos metálicos",25,8.03
2007,"Fabricación de sustancias químicas",20,22.94
2007,"Imprentas y editoriales",18,20.11
