"anio","mes","clae2_desc","clae2","porc_medio","mes_cuali"
2007,1,"Actividades administrativas de oficinas y empresas",82,40.67,"Enero"
2007,1,"Actividades de apoyo a la minería",9,5.41,"Enero"
2007,1,"Actividades de construcción especializada",43,5.13,"Enero"
2007,1,"Actividades de investigación y seguridad",80,9.18,"Enero"
2007,1,"Actividades de organismos extraterritoriales",99,53.54,"Enero"
2007,1,"Actividades de procesamiento de información",63,38.52,"Enero"
2007,1,"Actividades deportivas, recreativas y de entretenimiento",93,31.58,"Enero"
2007,1,"Administración pública, defensa y seguridad social",84,42.22,"Enero"
2007,1,"Agencias de viajes, servicios de reservas y actividades conexas",79,52.44,"Enero"
2007,1,"Agricultura, ganadería, caza y servicios relacionados",1,11.39,"Enero"
2007,1,"Almacenamiento y logística",52,15.95,"Enero"
2007,1,"Alquiler y leasing",77,18.29,"Enero"
2007,1,"Captación, depuración y distribución de agua",36,18.55,"Enero"
2007,1,"Comercio al por mayor excepto autos y motos",46,24.52,"Enero"
2007,1,"Comercio al por menor excepto autos y motos",47,42.03,"Enero"
2007,1,"Construcción de edificios y partes",41,3,"Enero"
2007,1,"Descontaminación y otros servicios",39,11.46,"Enero"
2007,1,"Edición",58,36.61,"Enero"
2007,1,"Elaboración de bebidas",11,14.31,"Enero"
2007,1,"Elaboración de prendas de vestir",14,60.46,"Enero"
2007,1,"Elaboración de productos alimenticios",10,20.8,"Enero"
2007,1,"Elaboración de productos de cuero",15,21.87,"Enero"
2007,1,"Elaboración de productos de madera",16,6.93,"Enero"
2007,1,"Elaboración de productos de papel",17,13.6,"Enero"
2007,1,"Elaboración de productos de tabaco",12,16.26,"Enero"
2007,1,"Elaboracion de productos farmaceuticos",21,35.69,"Enero"
2007,1,"Elaboración de productos textiles",13,23.96,"Enero"
2007,1,"Enseñanza",85,74.19,"Enero"
2007,1,"Extracción de carbon y lignito",5,3.37,"Enero"
2007,1,"Extracción de minerales metálicos",7,7.27,"Enero"
2007,1,"Extracción de petroleo crudo y gas natural",6,16.89,"Enero"
2007,1,"Fabricación de aparatos de uso doméstico",27,12.34,"Enero"
2007,1,"Fabricación de equipo de transporte",30,6.13,"Enero"
2007,1,"Fabricación de equipos automotores",29,9.19,"Enero"
2007,1,"Fabricación de equipos electrónicos",26,25.22,"Enero"
2007,1,"Fabricación de maquinaria",28,8.33,"Enero"
2007,1,"Fabricación de muebles y colchones",31,12.69,"Enero"
2007,1,"Fabricación de productos de caucho y plástico",22,13.22,"Enero"
2007,1,"Fabricación de productos de hornos de coque",19,19.62,"Enero"
2007,1,"Fabricación de productos de vidrio y minerales no metálicos",23,6.97,"Enero"
2007,1,"Fabricación de productos metálicos",25,8.3,"Enero"
2007,1,"Fabricación de sustancias químicas",20,22.97,"Enero"
2007,1,"Imprentas y editoriales",18,20.03,"Enero"
2007,1,"Industrias básicas de hierro y acero",24,6.05,"Enero"
2007,1,"Industrias manufactureras diversas",32,22.33,"Enero"
2007,1,"Ingeniería civil",42,5.35,"Enero"
2007,1,"Investigación y desarrollo científico",72,57.22,"Enero"
2007,1,"Juegos de azar, apuestas",92,47.8,"Enero"
2007,1,"Otras actividades profesionales, científicas y técnicas",74,38.04,"Enero"
2007,1,"Otras industrias extractivas",8,7.1,"Enero"
2007,1,"Otros servicios personales",96,43.02,"Enero"
2007,1,"Pesca y acuicultura",3,15.71,"Enero"
2007,1,"Programación y radiodifusión",60,26.76,"Enero"
2007,1,"Recolección, transporte, tratamiento y disposición final de residuos",38,4.55,"Enero"
2007,1,"Reparación de computadoras y equipos de uso doméstico",95,16.56,"Enero"
2007,1,"Reparacion de maquinaria y equipo",33,8.49,"Enero"
2007,1,"Servicio de correo y mensajería",53,13.7,"Enero"
