REGION;AGLOMERADO;PONDERA;SEXO;EDAD;MAX NIVEL CURSADO;FINALIZADO
43;2;355;2;59;2;1
43;2;355;1;23;4;2
43;2;355;2;21;4;2
43;2;355;1;5;1;2
43;2;516;1;71;7;1
43;2;516;2;45;7;1
43;2;460;2;66;7;1
43;2;460;2;29;6;2
43;2;460;2;30;7;2
43;2;981;1;39;7;1
43;2;981;2;37;7;2
43;2;981;2;7;2;2
43;2;981;1;4;1;2
43;2;981;2;1;0;0
43;2;787;1;56;7;1
43;2;787;2;51;2;1
43;2;757;2;54;6;1
43;2;757;1;54;7;2
43;2;957;1;45;4;2
43;2;349;1;27;4;1
43;2;349;2;23;4;2
43;2;789;2;32;6;2
43;2;789;1;37;4;2
43;2;789;1;7;2;2
43;2;470;1;55;4;2
43;2;470;2;56;6;1
43;2;470;2;22;7;2
43;2;470;2;20;7;2
43;2;548;1;60;7;1
43;2;548;2;58;7;1
43;2;548;1;27;7;2
43;2;548;2;25;7;1
43;2;486;1;58;7;1
43;2;486;2;56;7;1
43;2;486;2;25;7;2
43;2;486;2;23;4;1
43;2;486;1;19;7;2
43;2;1034;1;57;7;2
43;2;599;1;70;4;2
43;2;599;2;69;7;2
43;2;445;2;59;4;1
43;2;445;1;65;6;1
43;2;445;1;22;7;2
43;2;527;2;50;6;1
43;2;527;1;81;6;1
43;2;527;2;33;6;2
43;2;447;2;60;4;2
43;2;447;1;60;2;1
43;2;447;1;26;4;2
43;2;447;2;24;7;2
43;2;447;1;24;4;2
43;2;736;1;46;7;1
43;2;736;2;43;7;1
43;2;736;1;6;2;2
43;2;736;1;3;1;2
43;2;1003;1;38;4;1
43;2;1003;2;37;8;1
43;2;1003;2;5;1;2
43;2;824;1;47;7;1
43;2;824;2;47;6;1
43;2;421;2;49;7;1
43;2;421;2;20;7;2
43;2;421;1;17;4;2
43;2;912;1;46;5;1
43;2;912;2;32;4;2
43;2;912;1;13;4;2
43;2;912;2;11;2;2
43;2;912;1;9;2;2
43;2;912;1;3;1;2
43;2;992;1;40;7;1
43;2;790;2;35;2;2
43;2;790;1;17;4;2
43;2;790;2;15;4;2
43;2;790;2;10;2;2
43;2;790;1;40;2;2
43;2;790;1;19;4;2
43;2;1036;2;45;6;1
43;2;1036;1;44;6;1
43;2;1084;2;67;4;1
43;2;1084;1;33;7;1
43;2;1084;1;36;4;1
43;2;1084;1;12;4;2
43;2;1084;1;10;2;2
43;2;863;1;86;2;2
43;2;863;1;29;2;1
43;2;863;1;37;2;1
43;2;863;1;37;2;1
43;2;613;1;49;4;2
43;2;613;2;46;4;2
43;2;613;2;22;4;1
43;2;680;2;63;4;1
43;2;1125;1;43;8;1
43;2;1125;2;43;8;1
43;2;1125;2;6;2;2
43;2;1125;2;3;1;2
43;2;614;2;64;2;1
43;2;614;1;44;4;1
43;2;572;2;62;7;1
43;2;1220;1;33;6;1
43;2;1220;2;32;7;1
43;2;1220;1;3;0;0
43;2;1213;1;36;4;1
43;2;1213;2;36;0;0
43;2;1213;2;15;4;2
43;2;1213;2;14;4;2
43;2;1213;1;7;2;2
43;2;1213;1;18;4;2
